# Time-averaged data for fix writeFile
# TimeStep c_Tw c_Pw c_Kw c_wallTemp c_wallPE
5989000 239.431 -164388 11225.8 238.667 -385001
5990000 241.154 -164448 11440.6 229.434 -384927
5991000 236.429 -164262 11398.5 232.406 -384931
5992000 238.26 -164362 11697.6 236.174 -384949
5993000 241.664 -164528 12128.4 231.194 -384913
5994000 238.67 -164409 12328.9 233.669 -384935
5995000 236.292 -164301 12464 234.032 -384954
5996000 237.289 -164314 12695.8 231.879 -384940
5997000 239.574 -164430 13024.3 238.237 -384993
5998000 240.639 -164506 13236.6 235.272 -384926
5999000 238.682 -164425 13345.1 236.256 -384956
6000000 237.981 -164389 13343.7 233.353 -384940
6001000 238.518 -164393 13367 233.624 -384956
6002000 237.824 -164335 13277 232.683 -384932
6003000 238.204 -164372 13127.2 236.32 -384931
6004000 239.511 -164422 12948.4 232.37 -384900
6005000 238.722 -164377 12620 236.995 -384952
6006000 240.568 -164465 12400.3 235.294 -384940
6007000 238.389 -164384 11991.6 237.283 -384953
6008000 238.547 -164366 11733 233.262 -384941
6009000 239.725 -164432 11581 234.717 -384932
6010000 241.135 -164490 11440.8 236.23 -384942
6011000 239.056 -164381 11235.4 233.799 -384908
6012000 238.291 -164324 11097.6 234.971 -384937
6013000 236.788 -164259 11014.1 235.787 -384933
6014000 237.823 -164317 11129.5 233.408 -384905
6015000 239.888 -164395 11372.7 232.408 -384907
6016000 239.512 -164425 11579.7 234.656 -384899
6017000 237.661 -164328 11708.6 230.433 -384900
6018000 239.716 -164451 12047 232.321 -384895
6019000 236.77 -164319 12234.2 236.624 -384945
6020000 237.604 -164402 12505.8 236.043 -384902
6021000 237.975 -164417 12785.8 230.667 -384884
6022000 240.093 -164497 13215 232.014 -384932
6023000 240.033 -164510 13319.8 236.021 -384953
6024000 240.285 -164560 13511.9 235.276 -384933
6025000 240.751 -164600 13561.8 240.718 -384980
6026000 240.651 -164558 13476.9 234.054 -384962
6027000 240.083 -164535 13362.7 231.246 -384906
6028000 238.809 -164458 13073.3 233.262 -384940
6029000 238.789 -164431 12896.1 229.353 -384923
6030000 238.826 -164432 12610.1 233.163 -384940
6031000 240.388 -164470 12396.6 235.782 -384984
6032000 238.113 -164410 11998.4 231.641 -384896
6033000 238.288 -164391 11714.1 236.336 -384962
6034000 236.861 -164341 11456.4 238.438 -384971
6035000 237.929 -164369 11273.2 232.735 -384935
6036000 239.754 -164427 11226.5 233.171 -384952
6037000 237.057 -164297 11030.6 235.448 -384958
6038000 238.233 -164329 11082.1 233.609 -384951
6039000 240.765 -164435 11255.2 234.403 -384949
6040000 239.33 -164384 11334.7 233.076 -384933
6041000 237.069 -164306 11431.1 231.628 -384914
6042000 236.674 -164325 11656.4 237.42 -384949
6043000 237.713 -164352 11973.6 233.267 -384943
6044000 236.974 -164344 12184 234.496 -384929
6045000 236.999 -164347 12436 236.754 -384960
6046000 238.888 -164468 12813.8 232.252 -384913
