binRange along x axis (ANG)	 density (g/L)	 temperature (K)
58.95	1046	234.393
59.05	1036.01	232.136
59.15	1023.52	234.325
59.25	1013.11	236.258
59.35	996.453	239.09
59.45	1029.76	242.962
59.55	1026.02	241.783
59.65	983.128	238.413
59.75	1026.85	238.075
59.85	996.453	236.445
59.95	1050.17	233.612
60.05	1006.03	236.349
60.15	1022.69	239.803
60.25	971.885	240.339
60.35	1007.28	231.369
60.45	1006.45	235.095
60.55	984.377	237.511
60.65	1010.19	237.022
60.75	1035.59	232.523
60.85	1023.1	231.481
60.95	1011.44	239.013
61.05	1026.43	236.572
61.15	1011.86	238.182
61.25	1028.93	231.228
61.35	1008.94	235.462
61.45	1030.18	237.743
61.55	1001.45	240.469
61.65	989.79	236.903
61.75	1001.87	233.102
61.85	980.213	238.159
61.95	1014.36	235.487
62.05	1046	236.197
62.15	1011.03	242.189
62.25	968.554	243.254
62.35	973.55	231.797
62.45	1018.94	242.736
62.55	970.636	231.847
62.65	917.336	237.613
62.75	925.664	232.702
62.85	918.169	238.115
62.95	883.607	231.11
63.05	865.286	238.964
63.15	830.724	234.998
63.25	815.734	236.626
63.35	774.51	233.557
63.45	743.279	233.444
63.55	705.803	247.172
63.65	637.513	242.185
63.75	640.012	235.421
63.85	594.624	247.209
63.95	553.4	231.874
64.05	535.078	237.737
64.15	475.532	234.004
64.25	443.886	241.694
64.35	419.318	243.193
64.45	360.189	231.291
64.55	302.725	232.719
64.65	324.378	239.018
64.75	278.574	228.975
64.85	249.425	228.891
64.95	229.438	227.739
65.05	208.202	245.291
65.15	172.807	262.711
65.25	159.482	244.046
65.35	133.665	253.174
65.45	113.678	237.377
65.55	103.268	221.097
65.65	82.0314	238.251
65.75	87.4446	247.315
65.85	60.3784	248.069
65.95	47.4699	216.249
